customer_id,tenure_months,monthly_charges,contract_type,payment_method,support_tickets,has_streaming,churn
C001,2,89.90,month_to_month,electronic_check,5,yes,yes
C002,4,74.50,month_to_month,bank_transfer,3,no,yes
C003,6,65.20,one_year,credit_card,2,yes,no
C004,8,55.00,one_year,bank_transfer,1,no,no
C005,10,92.10,month_to_month,electronic_check,4,yes,yes
C006,12,48.75,two_year,credit_card,0,no,no
C007,14,79.99,one_year,electronic_check,2,yes,no
C008,16,44.25,two_year,bank_transfer,0,no,no
C009,18,103.40,month_to_month,electronic_check,6,yes,yes
C010,20,61.80,one_year,credit_card,1,yes,no
C011,22,58.30,two_year,bank_transfer,0,no,no
C012,24,85.00,one_year,electronic_check,3,yes,no
C013,3,96.40,month_to_month,electronic_check,7,yes,yes
C014,5,52.10,month_to_month,credit_card,2,no,yes
C015,7,69.75,one_year,bank_transfer,1,yes,no
C016,9,47.60,two_year,credit_card,0,no,no
C017,11,88.20,month_to_month,electronic_check,4,yes,yes
C018,13,59.90,one_year,bank_transfer,1,no,no
C019,15,76.45,one_year,credit_card,2,yes,no
C020,17,50.00,two_year,bank_transfer,0,no,no
C021,19,98.30,month_to_month,electronic_check,5,yes,yes
C022,21,63.25,one_year,credit_card,1,yes,no
C023,23,45.80,two_year,bank_transfer,0,no,no
C024,25,81.10,one_year,electronic_check,2,yes,no
C025,1,,month_to_month,electronic_check,6,yes,yes
C026,28,54.75,two_year,bank_transfer,0,no,no
C027,30,90.50,one_year,credit_card,,yes,no
C028,32,72.30,month_to_month,electronic_check,3,yes,yes
C029,36,49.95,two_year,bank_transfer,0,no,no
C030,40,66.60,one_year,credit_card,1,yes,no
